LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AU,DE,GB-1,GB-2,GB-3,GB-4,JP,KR,MX,NZ
39.00,624,125.85,135.79,137.80,141.17,141.30,141.50,132.85,136.69,146.33,139.50,149.37,142.10,152.04,143.42,153.36,149.62,159.56,160.61,167.12,181.21,239.17,134.78,157.90,163.95,167.83,168.56,203.24,150.63,155.20,218.05
40.00,640,128.52,138.71,140.77,144.22,144.36,144.56,135.67,139.54,149.43,142.43,152.56,145.07,155.26,146.41,156.60,152.70,162.89,163.96,170.74,185.10,244.65,137.38,161.38,167.43,171.31,172.04,207.64,153.95,158.50,223.09
41.00,656,131.19,141.63,143.74,147.28,147.41,147.61,138.49,142.39,152.54,145.37,155.75,148.04,158.48,149.39,159.84,155.79,166.23,167.32,174.37,188.99,250.14,139.98,164.86,170.91,174.79,175.52,212.05,157.11,161.81,228.13
42.00,672,133.85,144.55,146.71,150.33,150.47,150.67,141.30,145.24,155.64,148.30,158.93,151.00,161.71,152.37,163.07,158.87,169.57,170.67,177.99,192.88,255.63,142.58,168.34,174.39,178.28,179.00,216.45,160.43,165.11,233.18
43.00,688,136.52,147.48,149.68,153.39,153.52,153.72,144.12,148.09,158.75,151.23,162.12,153.97,164.93,155.36,166.31,161.95,172.91,174.03,181.61,196.77,261.11,145.18,171.83,177.87,181.76,182.49,220.86,163.59,166.62,238.22
44.00,704,138.90,150.11,152.32,156.02,156.16,156.36,146.50,150.48,161.39,153.62,164.76,156.35,167.56,157.74,168.95,164.34,175.55,176.67,184.25,199.41,266.60,147.77,175.31,181.35,185.24,185.97,225.26,166.75,169.92,243.26
45.00,720,141.57,153.03,155.26,158.93,159.06,159.26,149.17,153.26,164.42,156.43,167.83,159.17,170.64,160.64,172.11,167.32,178.79,179.94,187.72,203.18,,,,,,,,,,
46.00,736,144.24,155.96,158.19,161.83,161.97,162.17,151.83,156.04,167.46,159.25,170.90,161.99,173.71,163.54,175.26,170.30,182.02,183.21,191.19,206.96,,,,,,,,,,
47.00,752,146.90,158.88,161.13,164.74,164.87,165.07,154.50,158.83,170.50,162.06,173.97,164.80,176.78,166.44,178.42,173.29,185.26,186.48,194.66,210.73,,,,,,,,,,
48.00,768,149.57,161.80,164.07,167.64,167.78,167.98,157.17,161.61,173.54,164.88,177.04,167.62,179.85,169.34,181.57,176.27,188.50,189.75,198.14,214.50,,,,,,,,,,
49.00,784,152.23,164.72,167.01,170.55,170.68,170.88,159.83,164.39,176.58,167.70,180.12,170.44,182.92,172.24,184.73,179.25,191.74,193.02,201.61,218.27,,,,,,,,,,
50.00,800,154.90,167.64,169.94,173.45,173.59,173.79,162.50,167.17,179.61,170.51,183.19,173.25,185.99,175.14,187.88,182.24,194.98,196.30,205.08,222.05,,,,,,,,,,
51.00,816,157.57,170.56,172.88,176.36,176.49,176.69,165.17,169.96,182.65,173.33,186.26,176.07,189.06,178.04,191.03,185.22,198.22,199.57,208.55,225.82,,,,,,,,,,
52.00,832,160.23,173.48,175.82,179.26,179.39,179.59,167.83,172.74,185.69,176.15,189.33,178.89,192.14,180.94,194.19,188.21,201.45,202.84,212.02,229.59,,,,,,,,,,
53.00,848,162.90,176.40,178.76,182.16,182.30,182.50,170.50,175.52,188.73,178.96,192.40,181.70,195.21,183.84,197.34,191.19,204.69,206.11,215.50,233.37,,,,,,,,,,
54.00,864,165.57,179.32,181.70,185.07,185.20,185.40,173.16,178.31,191.77,181.78,195.47,184.52,198.28,186.74,200.50,194.17,207.93,209.38,218.97,237.14,,,,,,,,,,
55.00,880,167.95,181.96,184.33,187.71,187.84,188.04,175.55,180.69,194.40,184.16,198.11,186.90,200.92,189.12,203.14,196.55,210.57,212.02,221.61,239.78,,,,,,,,,,
56.00,896,170.61,184.88,187.27,190.61,190.74,190.94,178.21,183.47,197.44,186.98,201.18,189.72,203.99,192.02,206.29,199.54,213.81,215.29,225.08,243.55,,,,,,,,,,
57.00,912,173.28,187.80,190.21,193.52,193.65,193.85,180.88,186.26,200.48,189.80,204.25,192.54,207.06,194.92,209.45,202.52,217.04,218.56,228.55,247.32,,,,,,,,,,
58.00,928,175.95,190.72,193.15,196.42,196.55,196.75,183.55,189.04,203.52,192.61,207.32,195.35,210.13,197.82,212.60,205.51,220.28,221.84,232.02,251.09,,,,,,,,,,
59.00,944,178.61,193.65,196.08,199.32,199.46,199.66,186.21,191.82,206.55,195.43,210.40,198.17,213.20,200.72,215.76,208.49,223.52,225.11,235.50,254.87,,,,,,,,,,
60.00,960,181.28,196.57,199.02,202.23,202.36,202.56,188.88,194.61,209.59,198.25,213.47,200.99,216.27,203.62,218.91,211.47,226.76,228.38,238.97,258.64,,,,,,,,,,
61.00,976,183.95,199.49,201.96,205.13,205.27,205.47,191.54,197.39,212.63,201.06,216.54,203.80,219.34,206.52,222.07,214.46,230.00,231.65,242.44,262.41,,,,,,,,,,
62.00,992,186.61,202.41,204.90,208.04,208.17,208.37,194.21,200.17,215.67,203.88,219.61,206.62,222.42,209.42,225.22,217.44,233.24,234.92,245.91,266.19,,,,,,,,,,
63.00,1008,189.28,205.33,207.84,210.94,211.08,211.28,196.88,202.96,218.71,206.70,222.68,209.44,225.49,212.32,228.38,220.42,236.48,238.20,249.38,269.96,,,,,,,,,,
64.00,1024,191.95,208.25,210.77,213.85,213.98,214.18,199.54,205.74,221.74,209.51,225.75,212.25,228.56,215.22,231.53,223.41,239.71,241.47,252.86,273.73,,,,,,,,,,
65.00,1040,194.61,211.17,213.71,216.75,216.88,217.08,202.21,208.52,224.78,212.33,228.82,215.07,231.63,218.12,234.69,226.39,242.95,244.74,256.33,277.50,,,,,,,,,,
66.00,1056,196.99,213.81,216.35,219.39,219.52,219.72,204.59,210.90,227.42,214.71,231.46,217.45,234.27,220.51,237.32,228.77,245.59,247.38,258.97,280.14,,,,,,,,,,
