LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AU,DE,GB-1,GB-2,GB-3,GB-4,JP,KR,MX,NZ
1.56,25,11.59,11.99,12.19,12.61,12.71,12.86,12.90,14.00,14.36,14.72,15.06,15.82,16.22,16.17,16.57,17.49,17.89,18.19,17.84,20.99,18.63,17.07,12.45,18.49,22.38,23.11,20.92,14.47,11.95,14.12
1.63,26,11.74,12.15,12.35,12.77,12.87,13.02,13.04,14.14,14.52,14.86,15.22,15.96,16.38,16.31,16.73,17.63,18.05,18.35,18.00,21.15,18.97,17.23,12.66,18.71,22.59,23.32,21.02,14.66,12.04,14.43
1.69,27,11.89,12.32,12.52,12.94,13.04,13.19,13.20,14.30,14.69,15.02,15.40,16.12,16.55,16.47,16.90,17.79,18.22,18.52,18.17,21.32,19.32,17.40,12.88,18.93,22.81,23.54,21.13,14.86,12.14,14.75
1.75,28,12.32,12.77,13.10,13.48,13.54,13.77,13.72,15.94,16.06,16.38,16.66,17.77,18.21,18.35,18.80,20.67,21.12,21.55,19.53,24.01,19.66,17.55,13.10,19.14,23.03,23.76,21.23,15.05,12.23,15.06
1.81,29,12.48,12.94,13.27,13.66,13.71,13.94,13.88,16.10,16.23,16.53,16.83,17.92,18.38,18.50,18.97,20.83,21.29,21.72,19.70,24.18,20.00,17.72,13.32,19.37,23.25,23.98,21.34,15.26,12.33,15.38
1.88,30,12.62,13.10,13.43,13.82,13.87,14.10,14.02,16.24,16.39,16.68,16.99,18.06,18.54,18.65,19.13,20.97,21.45,21.88,19.86,24.34,20.34,17.88,13.53,19.58,23.46,24.19,21.44,15.45,12.42,15.69
1.94,31,12.77,13.27,13.60,13.99,14.04,14.27,14.18,16.40,16.56,16.83,17.16,18.22,18.71,18.80,19.30,21.12,21.62,22.05,20.03,24.51,20.69,18.05,13.76,19.80,23.69,24.42,21.56,15.65,12.52,16.01
2.00,32,12.92,13.43,13.76,14.15,14.20,14.43,14.32,16.54,16.72,16.98,17.32,18.36,18.87,18.95,19.46,21.27,21.78,22.21,20.19,24.67,21.03,18.21,13.97,20.01,23.90,24.63,21.66,15.85,12.61,16.32
2.06,33,13.06,13.59,13.92,14.31,14.36,14.59,14.47,16.69,16.88,17.12,17.48,18.51,19.03,19.09,19.62,21.41,21.94,22.37,20.35,24.83,21.37,18.36,14.18,20.23,24.11,24.84,24.40,16.04,12.70,16.64
2.13,34,13.22,13.76,14.09,14.48,14.53,14.76,14.62,16.84,17.05,17.28,17.65,18.66,19.20,19.25,19.79,21.57,22.11,22.54,20.52,25.00,21.72,18.53,14.40,20.45,24.34,25.06,24.51,16.24,12.80,16.96
2.19,35,13.36,13.92,14.25,14.64,14.69,14.92,14.77,16.99,17.21,17.42,17.81,18.81,19.36,19.39,19.95,21.71,22.27,22.70,20.68,25.16,22.06,18.69,14.62,20.66,24.55,25.28,24.61,16.44,12.89,17.27
2.25,36,13.83,14.41,14.78,15.28,15.41,15.54,15.59,17.54,17.96,18.21,18.78,19.25,19.82,20.33,20.90,23.05,23.63,24.11,21.89,26.53,22.40,18.86,14.84,20.89,24.77,25.50,24.72,16.80,14.78,17.59
2.31,37,13.98,14.57,14.94,15.44,15.57,15.70,15.73,17.69,18.13,18.35,18.94,19.39,19.98,20.48,21.06,23.20,23.79,24.27,22.05,26.69,22.74,19.02,15.05,21.10,24.99,25.71,24.82,16.99,14.87,17.90
2.38,38,14.13,14.74,15.11,15.61,15.74,15.87,15.89,17.84,18.30,18.51,19.11,19.54,20.15,20.63,21.23,23.35,23.96,24.44,22.22,26.86,23.09,19.18,15.28,21.32,25.21,25.94,24.93,17.19,14.97,18.22
2.44,39,14.28,14.90,15.27,15.77,15.90,16.03,16.03,17.99,18.46,18.65,19.27,19.69,20.31,20.77,21.40,23.50,24.12,24.60,22.38,27.02,23.43,19.34,15.49,21.54,25.42,26.15,25.03,17.39,15.06,18.53
2.50,40,14.43,15.07,15.44,15.94,16.07,16.21,16.19,18.14,18.63,18.81,19.44,19.84,20.48,20.93,21.57,23.65,24.29,24.77,22.55,27.19,23.78,19.51,15.71,21.76,25.65,26.37,25.15,17.59,15.16,18.85
2.56,41,14.58,15.23,15.60,16.10,16.23,16.37,16.33,18.28,18.79,18.95,19.61,19.99,20.64,21.07,21.73,23.80,24.45,24.93,22.71,27.35,24.12,19.67,15.93,21.97,25.86,26.59,25.25,17.78,15.25,19.16
2.63,42,14.72,15.39,15.76,16.26,16.39,16.53,16.48,18.43,18.95,19.10,19.77,20.13,20.80,21.22,21.89,23.94,24.61,25.09,22.87,27.51,24.46,19.83,16.14,22.19,26.07,26.80,25.35,17.98,15.34,19.47
2.69,43,14.88,15.56,15.93,16.43,16.56,16.70,16.63,18.58,19.12,19.25,19.94,20.29,20.97,21.37,22.06,24.09,24.78,25.26,23.04,27.68,24.80,20.00,16.36,22.41,26.30,27.02,25.46,18.18,15.44,19.79
2.75,44,15.02,15.72,16.09,16.59,16.72,16.86,16.77,18.73,19.28,19.40,20.10,20.43,21.13,21.52,22.22,24.24,24.94,25.42,23.20,27.85,25.14,20.15,16.58,22.62,26.51,27.24,25.56,18.37,15.53,20.10
2.81,45,15.18,15.89,16.26,16.76,16.89,17.03,16.93,18.88,19.45,19.55,20.27,20.59,21.30,21.67,22.39,24.39,25.11,25.59,23.37,28.02,25.49,20.32,16.80,22.85,26.73,27.46,25.67,18.58,15.63,20.42
2.88,46,15.32,16.05,16.42,16.92,17.05,17.19,17.07,19.03,19.61,19.70,20.43,20.73,21.46,21.82,22.55,24.54,25.27,25.75,23.53,28.18,25.83,20.48,17.01,23.06,26.94,27.67,25.77,18.77,15.72,20.74
2.94,47,15.47,16.22,16.59,17.09,17.22,17.36,17.23,19.18,19.78,19.85,20.60,20.88,21.63,21.97,22.72,24.69,25.44,25.93,23.70,28.35,26.18,20.65,17.24,23.28,27.17,27.90,25.88,18.97,15.82,21.06
3.00,48,15.62,16.38,16.75,17.25,17.39,17.52,17.37,19.33,19.94,19.99,20.76,21.03,21.79,22.11,22.88,24.84,25.60,26.09,23.86,28.51,26.52,20.81,17.45,23.50,27.38,28.11,25.99,19.17,15.91,21.37
3.06,49,15.76,16.54,16.91,17.41,17.55,17.68,17.52,19.47,20.10,20.14,20.92,21.17,21.95,22.26,23.04,24.98,25.76,26.25,24.03,28.67,26.86,20.96,17.66,23.71,27.59,28.32,28.73,19.36,16.00,21.68
3.13,50,15.92,16.71,17.08,17.58,17.72,17.85,17.67,19.63,20.27,20.29,21.09,21.33,22.12,22.41,23.21,25.14,25.93,26.42,24.20,28.84,27.20,21.13,17.89,23.93,27.82,28.55,28.84,19.56,16.10,22.00
3.19,51,16.06,16.87,17.24,17.74,17.88,18.01,17.82,19.77,20.43,20.44,21.25,21.47,22.29,22.56,23.37,25.28,26.09,26.58,24.36,29.00,27.54,21.29,18.10,24.15,28.03,28.76,28.94,19.76,16.19,22.31
3.25,52,16.22,17.04,17.41,17.91,18.05,18.18,17.97,19.92,20.60,20.59,21.42,21.63,22.46,22.71,23.54,25.44,26.26,26.75,24.53,29.17,27.89,21.46,18.32,24.37,28.25,28.98,29.05,19.96,16.29,22.63
3.31,53,16.63,17.47,17.91,18.54,18.66,18.83,18.63,20.57,21.30,21.47,22.25,22.62,23.47,23.29,24.14,25.96,26.81,27.31,25.84,30.53,28.23,21.62,18.54,24.58,28.47,29.20,29.15,20.15,16.38,22.94
