LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AU,DE,GB-1,GB-2,GB-3,GB-4,JP,KR,MX,NZ
40.00,640,102.53,102.53,104.58,108.04,108.17,108.37,108.37,108.37,113.25,116.37,119.08,120.41,126.71,127.78,134.56,138.80,147.18,148.92,148.92,148.92,232.51,151.48,155.84,161.89,165.77,166.50,207.64,162.15,158.50,217.34
41.00,656,104.54,104.54,106.65,110.19,110.32,110.52,110.52,110.52,115.45,118.65,121.39,122.75,129.14,130.23,137.27,141.62,150.13,151.90,151.90,151.90,237.72,154.43,159.18,165.23,169.12,169.84,212.05,165.52,161.81,222.25
42.00,672,106.56,106.56,108.71,112.34,112.47,112.67,112.67,112.67,117.65,120.94,123.71,125.08,131.58,132.68,139.99,144.43,153.09,154.89,154.89,154.89,242.93,157.38,162.53,168.57,172.46,173.19,216.45,169.05,165.11,227.16
43.00,688,108.58,108.58,110.78,114.49,114.62,114.82,114.82,114.82,119.85,123.22,126.03,127.41,134.01,135.13,142.71,147.25,156.04,157.87,157.87,157.87,248.14,160.32,165.87,171.92,175.80,176.53,220.86,172.41,166.62,232.06
44.00,704,110.31,110.31,112.51,116.22,116.35,116.55,116.55,116.55,121.58,124.95,127.76,129.15,135.74,136.86,144.44,148.99,157.77,159.61,159.61,159.61,253.36,163.27,169.21,175.26,179.14,179.87,225.26,175.78,169.92,236.97
45.00,720,112.33,112.33,114.55,118.22,118.35,118.55,118.55,118.55,123.71,127.12,129.93,131.40,138.08,139.23,147.01,151.67,160.59,162.47,162.47,162.47,,,,,,,,,,
46.00,736,114.34,114.34,116.58,120.22,120.35,120.55,120.55,120.55,125.85,129.29,132.09,133.65,140.41,141.60,149.58,154.35,163.41,165.34,165.34,165.34,,,,,,,,,,
47.00,752,116.36,116.36,118.61,122.22,122.35,122.55,122.55,122.55,127.98,131.45,134.26,135.90,142.74,143.96,152.15,157.04,166.22,168.21,168.21,168.21,,,,,,,,,,
48.00,768,118.37,118.37,120.65,124.22,124.35,124.55,124.55,124.55,130.11,133.62,136.43,138.15,145.08,146.33,154.71,159.72,169.04,171.08,171.08,171.08,,,,,,,,,,
49.00,784,120.39,120.39,122.68,126.22,126.35,126.55,126.55,126.55,132.25,135.79,138.59,140.40,147.41,148.70,157.28,162.41,171.86,173.95,173.95,173.95,,,,,,,,,,
50.00,800,122.41,122.41,124.71,128.22,128.35,128.55,128.55,128.55,134.38,137.96,140.76,142.65,149.75,151.06,159.85,165.09,174.68,176.82,176.82,176.82,,,,,,,,,,
51.00,816,124.42,124.42,126.75,130.22,130.35,130.55,130.55,130.55,136.51,140.12,142.93,144.90,152.08,153.43,162.42,167.78,177.50,179.68,179.68,179.68,,,,,,,,,,
52.00,832,126.44,126.44,128.78,132.22,132.35,132.55,132.55,132.55,138.65,142.29,145.09,147.15,154.41,155.80,164.98,170.46,180.31,182.55,182.55,182.55,,,,,,,,,,
53.00,848,128.46,128.46,130.81,134.22,134.35,134.55,134.55,134.55,140.78,144.46,147.26,149.40,156.75,158.17,167.55,173.15,183.13,185.42,185.42,185.42,,,,,,,,,,
54.00,864,130.47,130.47,132.85,136.22,136.35,136.55,136.55,136.55,142.92,146.62,149.43,151.65,159.08,160.53,170.12,175.83,185.95,188.29,188.29,188.29,,,,,,,,,,
55.00,880,132.21,132.21,134.58,137.95,138.08,138.29,138.29,138.29,144.65,148.35,151.16,153.38,160.81,162.27,171.85,177.56,187.68,190.02,190.02,190.02,,,,,,,,,,
56.00,896,134.22,134.22,136.61,139.95,140.08,140.28,140.28,140.28,146.78,150.52,153.33,155.63,163.15,164.63,174.42,180.25,190.50,192.89,192.89,192.89,,,,,,,,,,
57.00,912,136.24,136.24,138.64,141.95,142.08,142.28,142.28,142.28,148.91,152.69,155.49,157.88,165.48,167.00,176.99,182.93,193.32,195.76,195.76,195.76,,,,,,,,,,
58.00,928,138.26,138.26,140.68,143.95,144.08,144.28,144.28,144.28,151.05,154.86,157.66,160.13,167.81,169.37,179.55,185.62,196.14,198.63,198.63,198.63,,,,,,,,,,
59.00,944,140.27,140.27,142.71,145.95,146.08,146.28,146.28,146.28,153.18,157.02,159.83,162.38,170.15,171.73,182.12,188.30,198.95,201.49,201.49,201.49,,,,,,,,,,
60.00,960,142.29,142.29,144.74,147.95,148.08,148.28,148.28,148.28,155.31,159.19,161.99,164.63,172.48,174.10,184.69,190.98,201.77,204.36,204.36,204.36,,,,,,,,,,
61.00,976,144.31,144.31,146.78,149.95,150.08,150.28,150.28,150.28,157.45,161.36,164.16,166.88,174.82,176.47,187.26,193.67,204.59,207.23,207.23,207.23,,,,,,,,,,
62.00,992,146.32,146.32,148.81,151.95,152.08,152.28,152.28,152.28,159.58,163.52,166.33,169.13,177.15,178.84,189.82,196.35,207.41,210.10,210.10,210.10,,,,,,,,,,
63.00,1008,148.34,148.34,150.84,153.95,154.08,154.28,154.28,154.28,161.71,165.69,168.49,171.38,179.48,181.20,192.39,199.04,210.23,212.97,212.97,212.97,,,,,,,,,,
64.00,1024,150.35,150.35,152.88,155.95,156.08,156.28,156.28,156.28,163.85,167.86,170.66,173.63,181.82,183.57,194.96,201.72,213.05,215.83,215.83,215.83,,,,,,,,,,
65.00,1040,152.37,152.37,154.91,157.95,158.08,158.28,158.28,158.28,165.98,170.02,172.83,175.88,184.15,185.94,197.53,204.41,215.86,218.70,218.70,218.70,,,,,,,,,,
66.00,1056,154.10,154.10,156.64,159.68,159.82,160.02,160.02,160.02,167.71,171.76,174.56,177.62,185.88,187.67,199.26,206.14,217.60,220.43,220.43,220.43,,,,,,,,,,
