LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AU,DE,GB-1,GB-2,GB-3,GB-4,JP,KR,MX,NZ
1.56,25,10.58,10.58,10.78,11.20,11.30,11.45,11.45,11.45,12.95,13.65,14.80,15.15,16.47,16.77,16.42,17.11,19.11,19.58,19.58,19.58,17.00,17.70,12.23,18.28,22.16,22.89,20.92,14.79,11.95,13.63
1.63,26,10.68,10.68,10.88,11.30,11.40,11.55,11.55,11.55,13.05,13.75,14.91,15.26,16.58,16.88,16.53,17.21,19.22,19.68,19.68,19.68,17.32,17.88,12.43,18.48,22.37,23.09,21.02,14.99,12.04,13.93
1.69,27,10.80,10.80,11.00,11.41,11.51,11.66,11.66,11.66,13.17,13.87,15.02,15.37,16.69,16.99,16.64,17.33,19.33,19.80,19.80,19.80,17.65,18.07,12.65,18.70,22.58,23.31,21.13,15.21,12.14,14.25
1.75,28,11.18,11.18,11.52,11.90,11.95,12.19,12.19,12.19,14.47,15.07,16.63,17.21,19.53,19.97,17.95,18.72,21.89,22.42,22.42,22.42,17.97,18.25,12.85,18.90,22.78,23.51,21.23,15.41,12.23,14.55
1.81,29,11.30,11.30,11.63,12.02,12.07,12.30,12.30,12.30,14.59,15.19,16.74,17.33,19.65,20.08,18.06,18.83,22.00,22.54,22.54,22.54,18.30,18.44,13.07,19.11,23.00,23.73,21.34,15.63,12.33,14.86
1.88,30,11.40,11.40,11.74,12.12,12.17,12.40,12.40,12.40,14.69,15.29,16.85,17.43,19.75,20.19,18.16,18.93,22.11,22.64,22.64,22.64,18.62,18.62,13.27,19.32,23.20,23.93,21.44,15.84,12.42,15.16
1.94,31,11.52,11.52,11.85,12.23,12.28,12.52,12.52,12.52,14.81,15.41,16.96,17.54,19.87,20.30,18.28,19.05,22.22,22.75,22.75,22.75,18.96,18.81,13.49,19.53,23.42,24.15,21.56,16.05,12.52,15.47
2.00,32,11.62,11.62,11.95,12.34,12.39,12.62,12.62,12.62,14.91,15.51,17.06,17.65,19.97,20.40,18.38,19.15,22.32,22.86,22.86,22.86,19.28,18.99,13.69,19.74,23.62,24.35,21.66,16.26,12.61,15.78
2.06,33,11.72,11.72,12.06,12.44,12.49,12.73,12.73,12.73,15.01,15.61,17.17,17.75,20.07,20.51,18.49,19.25,22.43,22.96,22.96,22.96,19.60,19.17,13.90,19.94,23.83,24.56,24.40,16.46,12.70,16.08
2.13,34,11.84,11.84,12.17,12.56,12.61,12.84,12.84,12.84,15.13,15.73,17.28,17.87,20.19,20.62,18.60,19.37,22.54,23.08,23.08,23.08,19.93,19.36,14.11,20.16,24.04,24.77,24.51,16.68,12.80,16.39
2.19,35,11.94,11.94,12.28,12.66,12.71,12.94,12.94,12.94,15.23,15.83,17.39,17.97,20.29,20.73,18.70,19.47,22.65,23.18,23.18,23.18,20.25,19.54,14.31,20.36,24.25,24.98,24.61,16.89,12.89,16.69
2.25,36,12.37,12.37,12.74,13.24,13.37,13.51,13.51,13.51,15.93,16.75,17.78,18.87,21.59,22.07,19.85,20.79,23.93,24.50,24.50,24.50,20.58,19.73,14.53,20.58,24.46,25.19,24.72,17.26,14.78,17.01
2.31,37,12.48,12.48,12.84,13.34,13.48,13.61,13.61,13.61,16.03,16.85,17.89,18.97,21.69,22.18,19.96,20.89,24.03,24.60,24.60,24.60,20.90,19.91,14.73,20.78,24.67,25.39,24.82,17.47,14.87,17.31
2.38,38,12.59,12.59,12.96,13.46,13.59,13.73,13.73,13.73,16.15,16.97,18.00,19.09,21.81,22.29,20.07,21.01,24.15,24.71,24.71,24.71,21.24,20.10,14.95,20.99,24.88,25.61,24.93,17.68,14.97,17.62
2.44,39,12.69,12.69,13.06,13.56,13.70,13.83,13.83,13.83,16.25,17.07,18.10,19.19,21.91,22.40,20.18,21.11,24.25,24.82,24.82,24.82,21.56,20.28,15.15,21.20,25.08,25.81,25.03,17.89,15.06,17.92
2.50,40,12.81,12.81,13.18,13.68,13.81,13.94,13.94,13.94,16.36,17.18,18.22,19.30,22.03,22.51,20.29,21.22,24.36,24.93,24.93,24.93,21.89,20.47,15.37,21.41,25.30,26.03,25.15,18.10,15.16,18.23
2.56,41,12.91,12.91,13.28,13.78,13.91,14.05,14.05,14.05,16.47,17.29,18.32,19.41,22.13,22.61,20.39,21.33,24.47,25.04,25.04,25.04,22.21,20.65,15.57,21.62,25.50,26.23,25.25,18.31,15.25,18.54
2.63,42,13.02,13.02,13.38,13.88,14.02,14.15,14.15,14.15,16.57,17.39,18.43,19.51,22.23,22.72,20.50,21.43,24.57,25.14,25.14,25.14,22.53,20.83,15.78,21.82,25.71,26.44,25.35,18.52,15.34,18.84
2.69,43,13.13,13.13,13.50,14.00,14.13,14.27,14.27,14.27,16.69,17.50,18.54,19.63,22.35,22.83,20.61,21.55,24.69,25.25,25.25,25.25,22.86,21.02,15.99,22.04,25.92,26.65,25.46,18.73,15.44,19.15
2.75,44,13.23,13.23,13.60,14.10,14.24,14.37,14.37,14.37,16.79,17.61,18.64,19.73,22.45,22.94,20.72,21.65,24.79,25.36,25.36,25.36,23.18,21.20,16.20,22.24,26.13,26.86,25.56,18.94,15.53,19.45
2.81,45,13.35,13.35,13.71,14.22,14.35,14.48,14.48,14.48,16.90,17.72,18.76,19.84,22.57,23.05,20.83,21.76,24.90,25.47,25.47,25.47,23.52,21.39,16.41,22.46,26.34,27.07,25.67,19.15,15.63,19.77
2.88,46,13.45,13.45,13.82,14.32,14.45,14.59,14.59,14.59,17.01,17.83,18.86,19.95,22.67,23.15,20.93,21.87,25.01,25.58,25.58,25.58,23.84,21.57,16.61,22.66,26.55,27.28,25.77,19.36,15.72,20.07
2.94,47,13.57,13.57,13.93,14.43,14.57,14.70,14.70,14.70,17.12,17.94,18.98,20.06,22.78,23.27,21.05,21.98,25.12,25.69,25.69,25.69,24.17,21.76,16.83,22.88,26.76,27.49,25.88,19.58,15.82,20.38
3.00,48,13.67,13.67,14.04,14.54,14.67,14.80,14.80,14.80,17.23,18.04,19.08,20.17,22.89,23.37,21.15,22.09,25.23,25.79,25.79,25.79,24.49,21.94,17.03,23.08,26.97,27.69,25.99,19.78,15.91,20.68
