LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AU,DE,GB-1,GB-2,GB-3,GB-4,JP,KR,MX,NZ
26.00,416,76.56,76.56,77.96,80.34,80.47,80.67,80.67,80.67,84.89,86.93,89.20,90.32,95.32,96.17,99.47,102.41,109.06,110.36,110.36,110.36,193.06,105.62,104.43,110.47,114.36,115.09,145.97,106.81,114.04,168.49
27.00,432,78.65,78.65,80.11,82.56,82.70,82.90,82.90,82.90,87.17,89.29,91.60,92.73,97.83,98.69,102.27,105.31,112.09,113.42,113.42,113.42,199.55,108.38,107.59,113.64,117.52,118.25,150.38,110.06,117.34,174.15
28.00,448,80.75,80.75,82.25,84.79,84.92,85.12,85.12,85.12,89.45,91.65,93.99,95.14,100.34,101.22,105.06,108.20,115.11,116.48,116.48,116.48,206.03,111.15,110.76,116.80,120.69,121.42,154.78,113.15,120.65,179.81
29.00,464,82.84,82.84,84.39,87.01,87.15,87.35,87.35,87.35,91.72,94.01,96.38,97.55,102.85,103.75,107.86,111.10,118.14,119.55,119.55,119.55,212.52,113.91,113.92,119.97,123.85,124.58,159.19,116.40,123.95,185.47
30.00,480,84.93,84.93,86.54,89.24,89.37,89.57,89.57,89.57,94.00,96.37,98.78,99.96,105.36,106.27,110.65,113.99,121.17,122.61,122.61,122.61,219.00,116.68,117.09,123.13,127.02,127.75,163.59,119.49,127.25,191.13
31.00,496,87.02,87.02,88.68,91.47,91.60,91.80,91.80,91.80,96.28,98.73,101.17,102.37,107.87,108.80,113.44,116.88,124.20,125.67,125.67,125.67,225.49,119.45,120.25,126.30,130.18,130.91,168.00,122.75,130.56,196.78
32.00,512,89.12,89.12,90.82,93.69,93.83,94.03,94.03,94.03,98.55,101.09,103.56,104.78,110.38,111.33,116.24,119.78,127.23,128.73,128.73,128.73,231.97,122.21,123.42,129.46,133.35,134.08,172.40,125.84,132.07,202.44
33.00,528,90.93,90.93,92.63,95.50,95.64,95.84,95.84,95.84,100.36,102.90,105.37,106.59,112.19,113.14,118.05,121.59,129.04,130.54,130.54,130.54,238.46,124.98,126.58,132.63,136.51,137.24,176.81,128.93,135.37,208.10
34.00,544,93.02,93.02,94.77,97.73,97.86,98.06,98.06,98.06,102.64,105.26,107.76,109.00,114.70,115.66,120.84,124.48,132.06,133.60,133.60,133.60,244.95,127.74,129.75,135.79,139.68,140.41,181.21,132.18,138.68,213.76
35.00,560,95.11,95.11,96.92,99.95,100.09,100.29,100.29,100.29,104.91,107.62,110.16,111.41,117.21,118.19,123.63,127.38,135.09,136.66,136.66,136.66,251.43,130.51,132.91,138.96,142.84,143.57,185.62,135.27,141.98,219.42
36.00,576,97.20,97.20,99.06,102.18,102.31,102.51,102.51,102.51,107.19,109.98,112.55,113.82,119.72,120.72,126.43,130.27,138.12,139.72,139.72,139.72,257.92,133.27,136.08,142.12,146.01,146.74,190.02,138.53,145.28,225.08
37.00,592,99.30,99.30,101.20,104.41,104.54,104.74,104.74,104.74,109.47,112.34,114.94,116.23,122.23,123.24,129.22,133.16,141.15,142.78,142.78,142.78,264.40,136.04,139.24,145.29,149.17,149.90,194.43,141.62,148.59,230.74
38.00,608,101.39,101.39,103.34,106.63,106.77,106.97,106.97,106.97,111.74,114.70,117.34,118.64,124.74,125.77,132.02,136.06,144.17,145.84,145.84,145.84,270.89,138.81,142.40,148.45,152.34,153.07,198.83,144.87,151.89,236.39
39.00,624,103.48,103.48,105.49,108.86,108.99,109.19,109.19,109.19,114.02,117.06,119.73,121.05,127.25,128.30,134.81,138.95,147.20,148.91,148.91,148.91,277.37,141.57,145.57,151.62,155.50,156.23,203.24,147.96,155.20,242.05
40.00,640,105.58,105.58,107.63,111.09,111.22,111.42,111.42,111.42,116.30,119.42,122.12,123.46,129.76,130.83,137.61,141.85,150.23,151.97,151.97,151.97,283.86,144.34,148.73,154.78,158.67,159.39,207.64,151.21,158.50,247.71
