LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20
11.00,176,33.03,33.03,34.13,35.65,35.83,36.02,36.02,36.02,39.56,41.12,59.98,63.32,74.31,75.81,78.75,85.24,99.33,101.18,101.18,101.18
12.00,192,35.24,35.24,36.45,38.01,38.18,38.38,38.38,38.38,42.01,43.69,64.07,67.57,79.03,80.63,84.91,91.88,106.84,108.85,108.85,108.85
13.00,208,37.46,37.46,38.76,40.36,40.54,40.74,40.74,40.74,44.47,46.26,68.17,71.82,83.76,85.45,91.08,98.52,114.34,116.51,116.51,116.51
14.00,224,39.68,39.68,41.08,42.72,42.90,43.09,43.09,43.09,46.92,48.84,72.26,76.07,88.48,90.28,97.24,105.16,121.85,124.18,124.18,124.18
15.00,240,41.90,41.90,43.40,45.08,45.25,45.45,45.45,45.45,49.38,51.41,76.35,80.32,93.21,95.10,103.41,111.79,129.36,131.84,131.84,131.84
16.00,256,44.12,44.12,45.71,47.43,47.61,47.81,47.81,47.81,51.83,53.98,80.45,84.57,97.93,99.92,109.57,118.43,136.86,139.51,139.51,139.51
17.00,272,46.33,46.33,48.03,49.79,49.97,50.16,50.16,50.16,54.29,56.56,84.54,88.82,102.65,104.75,115.74,125.07,144.37,147.17,147.17,147.17
18.00,288,48.55,48.55,50.35,52.14,52.32,52.52,52.52,52.52,56.74,59.13,88.63,93.07,107.38,109.57,121.90,131.71,151.88,154.84,154.84,154.84
19.00,304,50.77,50.77,52.67,54.50,54.68,54.88,54.88,54.88,59.20,61.70,92.72,97.32,112.10,114.39,128.07,138.35,159.38,162.50,162.50,162.50
20.00,320,52.99,52.99,54.98,56.86,57.03,57.23,57.23,57.23,61.65,64.28,96.82,101.57,116.83,119.21,134.23,144.99,166.89,170.17,170.17,170.17
21.00,336,55.21,55.21,57.30,59.21,59.39,59.59,59.59,59.59,64.11,66.85,100.91,105.82,121.55,124.04,140.40,151.63,174.40,177.83,177.83,177.83
22.00,352,57.07,57.07,59.16,61.08,61.25,61.45,61.45,61.45,65.97,68.71,102.77,107.69,123.41,125.90,142.26,153.49,176.26,179.69,179.69,179.69
23.00,368,59.29,59.29,61.46,63.43,63.61,63.81,63.81,63.81,68.43,71.29,106.85,111.94,128.08,130.68,148.41,160.07,183.77,187.36,187.36,187.36
24.00,384,61.51,61.51,63.76,65.79,65.97,66.16,66.16,66.16,70.88,73.86,110.92,116.19,132.74,135.47,154.55,166.65,191.27,195.02,195.02,195.02
25.00,400,78.80,78.80,81.13,83.22,83.40,83.60,83.60,83.60,88.41,91.51,130.07,135.52,152.49,155.33,175.77,188.30,213.86,217.77,217.77,217.77
26.00,416,81.02,81.02,83.43,85.58,85.76,85.95,85.95,85.95,90.87,94.08,134.14,139.77,157.15,160.11,181.92,194.88,221.37,225.43,225.43,225.43
27.00,432,83.24,83.24,85.73,87.94,88.11,88.31,88.31,88.31,93.32,96.66,138.22,144.02,161.82,164.90,188.06,201.46,228.87,233.09,233.09,233.09
28.00,448,85.46,85.46,88.02,90.29,90.47,90.67,90.67,90.67,95.78,99.23,142.29,148.27,166.48,169.68,194.21,208.04,236.38,240.76,240.76,240.76
29.00,464,87.68,87.68,90.32,92.65,92.83,93.02,93.02,93.02,98.23,101.81,146.36,152.52,171.15,174.46,200.35,214.62,243.89,248.42,248.42,248.42
30.00,480,89.89,89.89,92.62,95.01,95.18,95.38,95.38,95.38,100.69,104.38,150.44,156.77,175.81,179.25,206.50,221.20,251.39,256.09,256.09,256.09
31.00,496,92.11,92.11,94.91,97.36,97.54,97.74,97.74,97.74,103.14,106.95,154.51,161.02,180.48,184.03,212.64,227.78,258.90,263.75,263.75,263.75
32.00,512,94.33,94.33,97.21,99.72,99.90,100.09,100.09,100.09,105.60,109.53,158.58,165.27,185.14,188.81,218.79,234.36,266.41,271.42,271.42,271.42
33.00,528,96.19,96.19,99.07,101.58,101.76,101.96,101.96,101.96,107.46,111.39,160.45,167.14,187.01,190.68,220.65,236.22,268.27,273.28,273.28,273.28
34.00,544,98.41,98.41,101.37,103.94,104.12,104.31,104.31,104.31,109.92,113.96,164.52,171.39,191.67,195.46,226.80,242.80,275.78,280.95,280.95,280.95
35.00,560,100.63,100.63,103.67,106.29,106.47,106.67,106.67,106.67,112.37,116.54,168.59,175.64,196.34,200.24,232.94,249.38,283.28,288.61,288.61,288.61
36.00,576,102.85,102.85,105.97,108.65,108.83,109.03,109.03,109.03,114.83,119.11,172.67,179.89,201.00,205.03,239.09,255.96,290.79,296.28,296.28,296.28
37.00,592,105.07,105.07,108.26,111.01,111.18,111.38,111.38,111.38,117.28,121.68,176.74,184.14,205.67,209.81,245.23,262.54,298.30,303.94,303.94,303.94
38.00,608,107.29,107.29,110.56,113.36,113.54,113.74,113.74,113.74,119.74,124.26,180.81,188.39,210.33,214.60,251.38,269.12,305.80,311.60,311.60,311.60
39.00,624,109.50,109.50,112.86,115.72,115.90,116.09,116.09,116.09,122.19,126.83,184.89,192.64,215.00,219.38,257.52,275.70,313.31,319.27,319.27,319.27
40.00,640,111.72,111.72,115.16,118.08,118.25,118.45,118.45,118.45,124.65,129.40,188.96,196.89,219.66,224.16,263.67,282.28,320.82,326.93,326.93,326.93
41.00,656,113.94,113.94,117.45,120.43,120.61,120.81,120.81,120.81,127.10,131.98,193.03,201.14,224.33,228.95,269.81,288.86,328.32,334.60,334.60,334.60
42.00,672,116.16,116.16,119.75,122.79,122.97,123.16,123.16,123.16,129.56,134.55,197.10,205.39,228.99,233.73,275.96,295.44,335.83,342.26,342.26,342.26
43.00,688,118.38,118.38,122.05,125.14,125.32,125.52,125.52,125.52,132.01,137.12,201.18,209.64,233.66,238.51,282.10,302.02,343.34,349.93,349.93,349.93
44.00,704,120.24,120.24,123.91,127.01,127.19,127.38,127.38,127.38,133.88,138.99,203.04,211.51,235.52,240.38,283.97,303.88,345.20,351.79,351.79,351.79
45.00,720,122.42,122.42,126.07,129.19,129.36,129.56,129.56,129.56,136.21,141.32,206.46,215.13,239.40,244.33,288.99,309.23,351.29,358.00,358.00,358.00
46.00,736,124.60,124.60,128.23,131.37,131.54,131.74,131.74,131.74,138.55,143.66,209.88,218.75,243.27,248.29,294.01,314.59,357.37,364.20,364.20,364.20
47.00,752,126.78,126.78,130.39,133.54,133.72,133.92,133.92,133.92,140.89,146.00,213.31,222.36,247.15,252.24,299.03,319.95,363.46,370.40,370.40,370.40
48.00,768,128.95,128.95,132.55,135.72,135.90,136.10,136.10,136.10,143.22,148.33,216.73,225.98,251.03,256.20,304.05,325.30,369.54,376.61,376.61,376.61
49.00,784,131.13,131.13,134.71,137.90,138.08,138.28,138.28,138.28,145.56,150.67,220.15,229.60,254.90,260.15,309.07,330.66,375.63,382.81,382.81,382.81
50.00,800,133.31,133.31,136.86,140.08,140.26,140.46,140.46,140.46,147.90,153.01,223.57,233.22,258.78,264.11,314.09,336.01,381.72,389.02,389.02,389.02
